id,momid,dadid,sex
477,123,133,2
479,122,141,2
480,130,140,2
482,117,126,2
484,118,127,2
486,139,126,2
487,119,131,2
488,135,131,2
491,135,133,2
493,122,131,2
494,123,140,2
495,135,142,2
496,122,126,2
497,139,142,2
498,122,141,2
499,135,142,2
502,120,140,2
503,123,133,2
505,122,142,2
506,114,133,2
507,137,132,2
508,114,126,2
509,130,127,2
512,116,129,2
513,117,133,2
516,119,132,2
517,138,134,2
519,137,126,2
523,117,141,2
525,152,157,2
528,150,160,2
530,159,157,2
531,147,160,2
532,151,145,2
533,152,160,2
534,152,160,2
537,149,160,2
543,149,144,2
546,153,145,2
547,149,157,2
548,164,144,2
550,148,145,2
551,153,146,2
552,158,154,2
553,164,160,2
554,164,145,2
555,161,145,2
556,155,160,2
560,164,145,2
573,150,157,2
574,164,146,2
576,181,179,2
577,189,174,2
579,186,182,2
580,186,182,2
583,167,182,2
585,189,185,2
588,181,179,2
598,181,176,2
599,167,182,2
604,189,182,2
605,189,176,2
606,189,182,2
608,166,182,2
610,177,174,2
612,183,176,2
613,167,182,2
614,189,182,2
615,183,182,2
617,186,182,2
623,181,176,2
626,193,197,2
628,201,211,2
634,201,211,2
636,199,198,2
638,201,212,2
639,201,197,2
641,201,206,2
642,201,197,2
645,201,206,2
646,201,202,2
648,205,197,2
649,196,197,2
652,203,197,2
653,196,206,2
654,201,211,2
657,204,206,2
658,205,208,2
660,201,206,2
662,201,206,2
664,201,211,2
668,201,206,2
669,201,206,2
670,201,202,2
674,204,211,2
677,234,230,2
678,239,242,2
680,234,231,2
681,243,222,2
682,234,238,2
684,219,227,2
685,228,231,2
688,241,227,2
692,236,213,2
693,229,213,2
696,217,214,2
697,221,223,2
698,229,233,2
699,239,242,2
700,243,227,2
701,229,214,2
702,219,238,2
703,229,227,2
707,221,223,2
709,219,235,2
710,218,227,2
711,219,232,2
712,241,223,2
713,241,231,2
716,236,227,2
719,228,231,2
3,0,0,2
7,0,0,2
17,0,0,2
18,0,0,2
19,0,0,2
24,0,0,2
25,0,0,2
27,0,0,2
29,0,0,2
32,0,0,2
34,0,0,2
36,0,0,2
37,0,0,2
38,0,0,2
47,0,0,2
48,0,0,2
49,0,0,2
50,0,0,2
51,0,0,2
52,0,0,2
53,0,0,2
54,0,0,2
55,0,0,2
56,0,0,2
59,0,0,2
60,0,0,2
62,0,0,2
63,0,0,2
64,0,0,2
65,0,0,2
66,0,0,2
68,0,0,2
71,0,0,2
75,0,0,2
77,0,0,2
81,0,0,2
114,0,0,2
115,0,0,2
116,0,0,2
117,0,0,2
118,0,0,2
119,0,0,2
120,0,0,2
121,0,0,2
122,0,0,2
123,0,0,2
125,0,0,2
130,0,0,2
135,0,0,2
137,0,0,2
138,0,0,2
139,0,0,2
147,0,0,2
148,0,0,2
149,0,0,2
150,0,0,2
151,0,0,2
152,0,0,2
153,0,0,2
155,0,0,2
156,0,0,2
158,0,0,2
159,0,0,2
161,0,0,2
162,0,0,2
163,0,0,2
164,0,0,2
165,0,0,2
166,0,0,2
167,0,0,2
168,0,0,2
170,0,0,2
171,0,0,2
175,0,0,2
177,0,0,2
180,0,0,2
181,0,0,2
183,0,0,2
184,0,0,2
186,0,0,2
188,0,0,2
189,0,0,2
190,0,0,2
191,0,0,2
193,0,0,2
194,0,0,2
195,0,0,2
196,0,0,2
199,0,0,2
200,0,0,2
201,0,0,2
203,0,0,2
204,0,0,2
205,0,0,2
207,0,0,2
216,0,0,2
217,0,0,2
218,0,0,2
219,0,0,2
220,0,0,2
221,0,0,2
228,0,0,2
229,0,0,2
234,0,0,2
236,0,0,2
239,0,0,2
241,0,0,2
243,0,0,2
1,0,0,1
2,0,0,1
4,0,0,1
5,0,0,1
6,0,0,1
8,0,0,1
9,0,0,1
10,0,0,1
11,0,0,1
12,0,0,1
13,0,0,1
14,0,0,1
15,0,0,1
16,0,0,1
20,0,0,1
21,0,0,1
22,0,0,1
23,0,0,1
26,0,0,1
28,0,0,1
30,0,0,1
31,0,0,1
33,0,0,1
35,0,0,1
39,0,0,1
40,0,0,1
41,0,0,1
42,0,0,1
43,0,0,1
44,0,0,1
45,0,0,1
46,0,0,1
57,0,0,1
58,0,0,1
61,0,0,1
69,0,0,1
70,0,0,1
72,0,0,1
73,0,0,1
74,0,0,1
76,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
82,0,0,1
124,0,0,1
126,0,0,1
127,0,0,1
128,0,0,1
129,0,0,1
131,0,0,1
132,0,0,1
133,0,0,1
134,0,0,1
136,0,0,1
140,0,0,1
141,0,0,1
142,0,0,1
143,0,0,1
144,0,0,1
145,0,0,1
146,0,0,1
154,0,0,1
157,0,0,1
160,0,0,1
169,0,0,1
172,0,0,1
173,0,0,1
174,0,0,1
176,0,0,1
178,0,0,1
179,0,0,1
182,0,0,1
185,0,0,1
187,0,0,1
192,0,0,1
197,0,0,1
198,0,0,1
202,0,0,1
206,0,0,1
208,0,0,1
209,0,0,1
210,0,0,1
211,0,0,1
212,0,0,1
213,0,0,1
214,0,0,1
215,0,0,1
222,0,0,1
223,0,0,1
224,0,0,1
225,0,0,1
226,0,0,1
227,0,0,1
230,0,0,1
231,0,0,1
232,0,0,1
233,0,0,1
235,0,0,1
237,0,0,1
238,0,0,1
242,0,0,1
