id,Speckling_Density,CV_DIFF
F2_P7_37,0,58.39094995
F2_P7_38,0,50.77191153
F2_P7_39,1.124847056,55.84214438
F2_P7_40,1.106342774,66.63331558
F2_P7_41,1.109435863,56.65470224
F2_P7_42,8.466505266,55.51543304
F2_P7_43,1.695736434,42.14408261
F2_P7_44,1.610978424,23.21759435
F2_P7_45,2.069712517,15.89032785
F2_P7_46,0.41485083,53.42252074
F2_P7_47,6.251559169,33.42928234
F2_P7_48,2.684392177,1.132457943
F2_P7_49,10.583817,0.610329212
F2_P7_50,10.45947886,6.692837535
F2_P8_1,12.05792784,17.16252772
F2_P8_2,8.002403388,10.67015884
F2_P8_3,1.188913088,26.58413101
F2_P8_4,2.854786099,12.95273385
F2_P8_5,0.671326456,42.6233184
F2_P8_6,8.986567231,24.11175828
F2_P8_7,6.569511859,65.12680944
F2_P8_8,4.107030235,13.81576015
F2_P8_9,1.69775566,64.99683618
F2_P8_10,8.719400958,31.2668367
F2_P8_11,2.820249462,4.282261987
F2_P8_12,2.858246231,27.82511953
F2_P8_13,2.008184915,65.36327717
F2_P8_14,1.519542071,34.33786253
F2_P8_15,0.478774032,7.669170513
F2_P8_16,4.07781421,16.07238255
F2_P8_17,2.668422234,11.18933325
F2_P8_18,0,1.676284067
F2_P8_19,0,45.48520041
F2_P8_20,2.475193405,26.5021882
F2_P8_21,1.336863098,39.20887592
F2_P8_22,0,27.30048939
F2_P8_23,0,43.59878963
F2_P8_24,11.20128143,13.62479332
F2_P8_25,4.954403562,18.73701905
F2_P8_26,5.037037336,16.1428693
F2_P8_27,4.484180626,21.3022826
F2_P8_28,6.609056429,53.56646351
F2_P8_29,2.452538132,19.42746201
F2_P8_30,0.946653847,29.6668928
F2_P8_31,0,32.81211723
F2_P8_32,1.261778306,33.18215048
F2_P8_33,2.584424257,3.066800136
F2_P8_34,0.29933891,7.75042539
F2_P8_35,1.394175784,17.08530399
F2_P8_36,2.235990958,35.84362709
F2_P8_37,1.122898215,66.41803849
F2_P8_38,0,50.33277356
F2_P8_39,1.56157119,41.95338182
F2_P8_40,4.842208564,58.33857192
F2_P8_41,2.883731549,20.39256279
F2_P8_42,1.91371744,57.46198285
F2_P8_43,6.57261535,19.40536057
F2_P8_44,0.618401145,26.64780752
F2_P8_45,7.410013327,67.4626472
F2_P8_46,3.986378906,27.59379868
F2_P8_47,3.572619117,71.18280145
F2_P8_48,2.16127285,46.00680248
